iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BDI,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,828.349272225923,tonnes,annual,2023-10-06 00:00:00,
BDI,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,21.475722911307,tonnes,annual,2023-10-06 00:00:00,
BDI,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,493190.0169751649,tonnes,annual,2023-10-06 00:00:00,
BDI,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,537589.5379664744,tonnes,annual,2023-10-06 00:00:00,
BEL,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,163270.962646952,tonnes,annual,2023-10-06 00:00:00,
BEL,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,290.977926163456,tonnes,annual,2023-10-06 00:00:00,
BEL,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,7.54387242364498,tonnes,annual,2023-10-06 00:00:00,
BEL,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,173245.03941025308,tonnes,annual,2023-10-06 00:00:00,
BEL,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,188841.45625261433,tonnes,annual,2023-10-06 00:00:00,
BEN,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,1606070.32218056,tonnes,annual,2023-10-06 00:00:00,
BEN,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,2862.3036765412,tonnes,annual,2023-10-06 00:00:00,
BEN,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,74.2078702047818,tonnes,annual,2023-10-06 00:00:00,
BEN,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,1704183.730748386,tonnes,annual,2023-10-06 00:00:00,
BEN,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,1857603.2078109945,tonnes,annual,2023-10-06 00:00:00,
BES,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,0,tonnes,annual,2023-10-06 00:00:00,
BES,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,0,tonnes,annual,2023-10-06 00:00:00,
BES,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,0,tonnes,annual,2023-10-06 00:00:00,
BES,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,0,tonnes,annual,2023-10-06 00:00:00,
BES,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,0,tonnes,annual,2023-10-06 00:00:00,
BFA,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,2278265.80777813,tonnes,annual,2023-10-06 00:00:00,
COG,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,269.911408916024,tonnes,annual,2023-10-06 00:00:00,
COG,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,151450.315666306,tonnes,annual,2023-10-06 00:00:00,
BFA,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,4060.27551492402,tonnes,annual,2023-10-06 00:00:00,
BFA,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,105.266402720452,tonnes,annual,2023-10-06 00:00:00,
BFA,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,2417443.029726747,tonnes,annual,2023-10-06 00:00:00,
BFA,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,2635073.797326674,tonnes,annual,2023-10-06 00:00:00,
BGD,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,11147503.6158896,tonnes,annual,2023-10-06 00:00:00,
BGD,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,19866.8392414176,tonnes,annual,2023-10-06 00:00:00,
BGD,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,515.066125909334,tonnes,annual,2023-10-06 00:00:00,
BGD,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,11828494.695629407,tonnes,annual,2023-10-06 00:00:00,
BGD,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,12893357.27896939,tonnes,annual,2023-10-06 00:00:00,
BGR,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,1884953.37250001,tonnes,annual,2023-10-06 00:00:00,
BGR,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,3359.32303407352,tonnes,annual,2023-10-06 00:00:00,
BGR,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,87.0935597510717,tonnes,annual,2023-10-06 00:00:00,
BGR,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,2000103.5008388525,tonnes,annual,2023-10-06 00:00:00,
BGR,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,2180163.2154651927,tonnes,annual,2023-10-06 00:00:00,
BHR,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,5.38938,tonnes,annual,2023-10-06 00:00:00,
BHR,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,0.00960484,tonnes,annual,2023-10-06 00:00:00,
BHR,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,0.000249014,tonnes,annual,2023-10-06 00:00:00,
BHR,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,5.71861247,tonnes,annual,2023-10-06 00:00:00,
BHR,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,6.233431894,tonnes,annual,2023-10-06 00:00:00,
BHS,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,9530.1241,tonnes,annual,2023-10-06 00:00:00,
BHS,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,16.9843857,tonnes,annual,2023-10-06 00:00:00,
BHS,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,0.440335619,tonnes,annual,2023-10-06 00:00:00,
BHS,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,10112.311015027,tonnes,annual,2023-10-06 00:00:00,
BHS,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,11022.674088547,tonnes,annual,2023-10-06 00:00:00,
BIH,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,247994.06213403,tonnes,annual,2023-10-06 00:00:00,
BIH,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,441.969607159804,tonnes,annual,2023-10-06 00:00:00,
BIH,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,11.4584698141107,tonnes,annual,2023-10-06 00:00:00,
BIH,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,263143.79770802887,tonnes,annual,2023-10-06 00:00:00,
BIH,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,286833.3686517944,tonnes,annual,2023-10-06 00:00:00,
BLR,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,968595.071899943,tonnes,annual,2023-10-06 00:00:00,
BLR,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,1726.20896003457,tonnes,annual,2023-10-06 00:00:00,
BLR,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,44.7535655195958,tonnes,annual,2023-10-06 00:00:00,
BLR,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,1027765.6789997328,tonnes,annual,2023-10-06 00:00:00,
BLR,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,1120290.479257586,tonnes,annual,2023-10-06 00:00:00,
BLZ,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,285026.724972467,tonnes,annual,2023-10-06 00:00:00,
BLZ,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,507.968547122803,tonnes,annual,2023-10-06 00:00:00,
BLZ,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,13.169547676962,tonnes,annual,2023-10-06 00:00:00,
BLZ,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,302438.75597001787,tonnes,annual,2023-10-06 00:00:00,
BLZ,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,329665.8700958001,tonnes,annual,2023-10-06 00:00:00,
BOL,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,3905148.37517547,tonnes,annual,2023-10-06 00:00:00,
BOL,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,6959.67013783386,tonnes,annual,2023-10-06 00:00:00,
BOL,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,180.435907369111,tonnes,annual,2023-10-06 00:00:00,
BOL,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,4143710.4056363185,tonnes,annual,2023-10-06 00:00:00,
BOL,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,4516748.725024213,tonnes,annual,2023-10-06 00:00:00,
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,207110525.88513,tonnes,annual,2023-10-06 00:00:00,
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,369107.859062329,tonnes,annual,2023-10-06 00:00:00,
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,9569.46292537582,tonnes,annual,2023-10-06 00:00:00,
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,219762723.03025293,tonnes,annual,2023-10-06 00:00:00,
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,239546904.27599376,tonnes,annual,2023-10-06 00:00:00,
BRB,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,13391.9,tonnes,annual,2023-10-06 00:00:00,
BRB,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,23.8668,tonnes,annual,2023-10-06 00:00:00,
BRB,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,0.61877,tonnes,annual,2023-10-06 00:00:00,
BRB,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,14210.00117,tonnes,annual,2023-10-06 00:00:00,
BRB,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,15489.26165,tonnes,annual,2023-10-06 00:00:00,
BRN,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,3792.08076464166,tonnes,annual,2023-10-06 00:00:00,
BRN,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,6.75816544273401,tonnes,annual,2023-10-06 00:00:00,
BRN,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,0.175211658667197,tonnes,annual,2023-10-06 00:00:00,
BRN,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,4023.7356475001698,tonnes,annual,2023-10-06 00:00:00,
BRN,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,4385.973315230713,tonnes,annual,2023-10-06 00:00:00,
BTN,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,37293.3127296134,tonnes,annual,2023-10-06 00:00:00,
BTN,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,66.463329164184,tonnes,annual,2023-10-06 00:00:00,
BTN,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,1.72312358742159,tonnes,annual,2023-10-06 00:00:00,
BTN,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,39571.52802224529,tonnes,annual,2023-10-06 00:00:00,
BTN,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,43133.96246544556,tonnes,annual,2023-10-06 00:00:00,
BWA,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,168948.106128652,tonnes,annual,2023-10-06 00:00:00,
BWA,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,301.095643340948,tonnes,annual,2023-10-06 00:00:00,
BWA,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,7.80618322804726,tonnes,annual,2023-10-06 00:00:00,
BWA,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,179268.99564878267,tonnes,annual,2023-10-06 00:00:00,
BWA,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,195407.72213185753,tonnes,annual,2023-10-06 00:00:00,
CAF,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,261985.65538775,tonnes,annual,2023-10-06 00:00:00,
CAF,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,466.905186480698,tonnes,annual,2023-10-06 00:00:00,
CAF,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,12.1049479802577,tonnes,annual,2023-10-06 00:00:00,
CAF,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,277990.1272586353,tonnes,annual,2023-10-06 00:00:00,
CAF,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,303016.24525400077,tonnes,annual,2023-10-06 00:00:00,
CAN,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,6125889.18581983,tonnes,annual,2023-10-06 00:00:00,
